Ciclo,Mínimo,Máximo,Cromosoma máximo decimal,Cromosoma máximo,Promedio
62,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9992195129387269
63,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.999951177835419
64,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999511651694324
65,0.9999694826546772,1.0,1073741823,111111111111111111111111111111,0.9999960899600602
66,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9938476562443611
67,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9817382812334472
68,0.9999999701976778,1.0,1073741823,111111111111111111111111111111,0.9999999955296517
69,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9922912582684262
70,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992202743880654
71,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.99995117746289
72,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.9765502679889224
73,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999511763453028
74,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.9999755874275934
75,0.9998779334126766,1.0,1073741823,111111111111111111111111111111,0.9999862674681808
76,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992202281944713
77,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9996097534891313
78,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968925475128735
79,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9557239683019926
80,0.9990160502629739,1.0,1073741823,111111111111111111111111111111,0.9998031975728725
81,1.0,1.0,1073741823,111111111111111111111111111111,1.0
82,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878898620510874
83,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9554702758432569
84,0.9999998807907138,1.0,1073741823,111111111111111111111111111111,0.9999999880790714
85,0.9999990463259101,1.0,1073741823,111111111111111111111111111111,0.9999999016523589
86,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.973461908078798
87,0.9999694826546772,1.0,1073741823,111111111111111111111111111111,0.999996185327469
88,0.9999990463259101,1.0,1073741823,111111111111111111111111111111,0.9999999046325911
89,0.9998779334126766,1.0,1073741823,111111111111111111111111111111,0.9999858859988177
90,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878906249890861
91,0.9999995231628982,1.0,1073741823,111111111111111111111111111111,0.9999999523162899
92,0.9999389657750157,1.0,1073741823,111111111111111111111111111111,0.9999938488937914
93,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.9765471939026525
94,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.9248047351369737
95,0.9999389657750157,1.0,1073741823,111111111111111111111111111111,0.9999934908937529
96,0.9990234376155203,1.0,1073741823,111111111111111111111111111111,0.9999023435752875
97,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.999975581467129
98,0.9999389657750157,1.0,1073741823,111111111111111111111111111111,0.9999938958324435
99,0.9999961853063688,1.0,1073741823,111111111111111111111111111111,0.9999996185306369
100,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878875494126973
101,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.999872995942378
102,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.9999705739617422
103,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878900520398923
104,0.9999694826546772,1.0,1073741823,111111111111111111111111111111,0.9999969473341451
105,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9980532646161357
106,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9984427414834837
107,0.96899411125969,1.0,1073741823,111111111111111111111111111111,0.9968933077034705
108,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9996066808929747
109,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9984420537992378
110,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9562484264082756
111,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9984367133119185
112,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9984397649765079
113,1.0,1.0,1073741823,111111111111111111111111111111,1.0
114,0.9980478286724992,1.0,1073741823,111111111111111111111111111111,0.9998045921324774
115,0.9998779334126766,1.0,1073741823,111111111111111111111111111111,0.9999877933412676
116,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9984313476816226
117,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999504119171938
118,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.9999008417186801
119,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999507896605333
120,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.9764648616109299
121,0.9999995231628982,1.0,1073741823,111111111111111111111111111111,0.9999999463558253
122,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9995121225710143
123,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999511776491545
124,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968505918950541
125,0.9998779334126766,1.0,1073741823,111111111111111111111111111111,0.9999877456575547
126,0.9999980926522749,1.0,1073741823,111111111111111111111111111111,0.9999998092652275
127,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.993847274774998
128,0.9999961853063688,1.0,1073741823,111111111111111111111111111111,0.9999995231632279
129,1.0,1.0,1073741823,111111111111111111111111111111,1.0
130,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9938354436251643
131,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.924993890570471
132,0.7656249476422099,1.0,1073741823,111111111111111111111111111111,0.9765624947642209
133,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9562499969848431
134,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9984435066566562
135,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.9999693841673377
136,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968016860977287
137,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.9999021569266919
138,0.999877918512425,1.0,1073741823,111111111111111111111111111111,0.9999862518221437
139,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.8796669013972724
140,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968612641096456
141,0.9999999925494194,1.0,1073741823,111111111111111111111111111111,0.9999999988824129
142,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9562240615195818
143,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.9703857432790528
144,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9993901029223545
145,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.9998962164855584
146,1.0,1.0,1073741823,111111111111111111111111111111,1.0
147,1.0,1.0,1073741823,111111111111111111111111111111,1.0
148,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968961656298658
149,0.9999694528528098,1.0,1073741823,111111111111111111111111111111,0.9999969452852809
150,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992202637709884
151,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878418026382405
152,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.8796935794045695
153,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9922893522298277
154,0.9999923687573755,1.0,1073741823,111111111111111111111111111111,0.9999986587111431
155,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.8812250121850236
156,0.562494277619404,1.0,1073741823,111111111111111111111111111111,0.9124017953187827
157,1.0,1.0,1073741823,111111111111111111111111111111,1.0
158,1.0,1.0,1073741823,111111111111111111111111111111,1.0
159,0.9689941405963509,1.0,1073741823,111111111111111111111111111111,0.9968994140596351
160,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878906249890861
161,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.9999725356930611
162,0.9844360351418118,1.0,1073741823,111111111111111111111111111111,0.9980502128816034
163,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9558557987224303
164,0.9346961974499735,1.0,1073741823,111111111111111111111111111111,0.9930792806606761
165,0.9999995231628982,1.0,1073741823,111111111111111111111111111111,0.9999999519437608
166,0.9980478286724992,1.0,1073741823,111111111111111111111111111111,0.9998040199292513
167,0.9999694826546772,1.0,1073741823,111111111111111111111111111111,0.9999964237449855
168,0.99902367591767,1.0,1073741823,111111111111111111111111111111,0.999902367591767
169,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9878905773053759
170,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9937926829735716
171,0.9997558742759338,1.0,1073741823,111111111111111111111111111111,0.9999664322705627
172,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.999951177835419
173,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.9249999999534338
174,0.9998779334126766,1.0,1073741823,111111111111111111111111111111,0.9999877456575575
175,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9441405772704513
176,0.9995117783541901,1.0,1073741823,111111111111111111111111111111,0.9999511271714766
177,0.9995117485591439,1.0,1073741823,111111111111111111111111111111,0.9999511748559143
178,0.7656249997962732,1.0,1073741823,111111111111111111111111111111,0.9750030279174198
179,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.987866188574823
180,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9938384995972143
181,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9847839356262227
182,0.9689903855073646,1.0,1073741823,111111111111111111111111111111,0.9937000568916108
183,0.992202758781815,1.0,1073741823,111111111111111111111111111111,0.9992155999229212
184,0.765624165331473,1.0,1073741823,111111111111111111111111111111,0.9763671971652229
185,0.8789062498908606,1.0,1073741823,111111111111111111111111111111,0.9815399382445479
186,0.9844360240532524,1.0,1073741823,111111111111111111111111111111,0.998242134701195
187,0.878906246398401,1.0,1073741823,111111111111111111111111111111,0.9878662087146722
188,0.9689941369292683,1.0,1073741823,111111111111111111111111111111,0.9968993965565918
189,0.9999694826546772,1.0,1073741823,111111111111111111111111111111,0.9999965537575897
190,0.9999961815810856,1.0,1073741823,111111111111111111111111111111,0.999999605864651
191,0.2499999995343387,1.0,1073741823,111111111111111111111111111111,0.9249992247219776
192,0.9960975646936348,1.0,1073741823,111111111111111111111111111111,0.9995853081341718
193,0.991959586732067,1.0,1073741823,111111111111111111111111111111,0.9991959586732067
194,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9907469749365874
195,0.562499999650754,1.0,1073741823,111111111111111111111111111111,0.9562499031075504
196,0.9384765624436113,1.0,1073741823,111111111111111111111111111111,0.9938476532641289
197,0.9980478286724992,1.0,1073741823,111111111111111111111111111111,0.9998017251606116
198,0.999984741269131,1.0,1073741823,111111111111111111111111111111,0.9999954164202748
199,0.9999847114670362,1.0,1073741823,111111111111111111111111111111,0.9999968946096743
200,0.9999999925494194,1.0,1073741823,111111111111111111111111111111,0.999999999254942
